gene_id,species_id,symbol
Bb-comp100009_c0,bb,
Bb-comp100065_c0,bb,
Bb-comp1000_c0,bb,
Bb-comp10019_c0,bb,
Bb-comp100297_c0,bb,
Bb-comp100383_c0,bb,
Bb-comp10051_c0,bb,
Bb-comp100544_c0,bb,
Bb-comp100604_c0,bb,
Bb-comp100611_c0,bb,
Bb-comp100660_c0,bb,
Bb-comp100823_c0,bb,
Bb-comp10083_c0,bb,
Bb-comp100856_c0,bb,
Bb-comp101050_c0,bb,
Bb-comp101063_c0,bb,
Bb-comp101198_c0,bb,
Bb-comp10120_c0,bb,
Bb-comp10132_c0,bb,
Bb-comp101385_c0,bb,
Bb-comp10146_c0,bb,
Bb-comp10156_c0,bb,
Bb-comp101583_c0,bb,
Bb-comp10159_c0,bb,
Bb-comp10163_c0,bb,
Bb-comp101660_c0,bb,
Bb-comp101698_c0,bb,
Bb-comp101726_c0,bb,
Bb-comp101869_c0,bb,
Bb-comp101956_c0,bb,
Bb-comp101977_c0,bb,
Bb-comp10208_c0,bb,
Bb-comp10209_c0,bb,
Bb-comp10217_c0,bb,
Bb-comp10219_c0,bb,
Bb-comp10233_c0,bb,
Bb-comp102362_c0,bb,
Bb-comp10241_c0,bb,
Bb-comp102487_c0,bb,
Bb-comp102735_c0,bb,
Bb-comp102951_c0,bb,
Bb-comp103044_c0,bb,
Bb-comp10314_c0,bb,
Bb-comp103220_c0,bb,
Bb-comp103233_c0,bb,
Bb-comp103257_c0,bb,
Bb-comp1032_c0,bb,
Bb-comp103303_c0,bb,
Bb-comp10330_c0,bb,
Bb-comp10339_c0,bb,
Bb-comp103462_c0,bb,
Bb-comp104047_c0,bb,
Bb-comp10421_c0,bb,
Bb-comp104351_c0,bb,
Bb-comp10448_c0,bb,
Bb-comp104559_c0,bb,
Bb-comp104631_c0,bb,
Bb-comp104640_c0,bb,
Bb-comp104650_c0,bb,
Bb-comp104750_c0,bb,
Bb-comp104766_c0,bb,
Bb-comp104808_c0,bb,
Bb-comp10486_c0,bb,
Bb-comp104940_c0,bb,
Bb-comp10499_c0,bb,
Bb-comp105004_c0,bb,
Bb-comp105021_c0,bb,
Bb-comp105136_c0,bb,
Bb-comp105170_c0,bb,
Bb-comp105171_c0,bb,
Bb-comp10520_c0,bb,
Bb-comp105256_c0,bb,
Bb-comp10530_c0,bb,
Bb-comp105371_c0,bb,
Bb-comp10539_c0,bb,
Bb-comp105546_c0,bb,
Bb-comp105602_c0,bb,
Bb-comp105650_c0,bb,
Bb-comp105739_c0,bb,
Bb-comp105805_c0,bb,
Bb-comp105902_c0,bb,
Bb-comp105984_c0,bb,
Bb-comp106004_c0,bb,
Bb-comp106050_c0,bb,
Bb-comp106083_c0,bb,
Bb-comp106094_c0,bb,
Bb-comp106189_c0,bb,
Bb-comp106236_c0,bb,
Bb-comp106285_c0,bb,
Bb-comp106287_c0,bb,
Bb-comp106334_c0,bb,
Bb-comp106343_c0,bb,
Bb-comp106353_c0,bb,
Bb-comp106373_c0,bb,
Bb-comp106617_c0,bb,
Bb-comp106748_c0,bb,
Bb-comp10680_c0,bb,
Bb-comp106832_c0,bb,
Bb-comp10684_c0,bb,
Bb-comp106872_c0,bb,
Bb-comp106884_c0,bb,
Bb-comp10688_c0,bb,
Bb-comp106925_c0,bb,
Bb-comp106953_c0,bb,
Bb-comp10700_c0,bb,
Bb-comp107044_c0,bb,
Bb-comp107062_c0,bb,
Bb-comp107065_c0,bb,
Bb-comp107137_c0,bb,
Bb-comp107196_c0,bb,
Bb-comp107266_c0,bb,
Bb-comp107303_c0,bb,
Bb-comp107353_c0,bb,
Bb-comp10751_c0,bb,
Bb-comp107526_c0,bb,
Bb-comp107581_c0,bb,
Bb-comp10767_c0,bb,
Bb-comp107787_c0,bb,
Bb-comp1078_c0,bb,
Bb-comp107930_c0,bb,
Bb-comp108022_c0,bb,
Bb-comp108121_c0,bb,
Bb-comp108149_c0,bb,
Bb-comp10815_c0,bb,
Bb-comp108216_c0,bb,
Bb-comp108240_c0,bb,
Bb-comp108260_c0,bb,
Bb-comp108303_c0,bb,
Bb-comp10839_c0,bb,
Bb-comp10843_c0,bb,
Bb-comp108494_c0,bb,
Bb-comp108518_c0,bb,
Bb-comp10854_c0,bb,
Bb-comp108560_c0,bb,
Bb-comp108562_c0,bb,
Bb-comp108764_c0,bb,
Bb-comp108833_c0,bb,
Bb-comp108842_c0,bb,
Bb-comp10887_c0,bb,
Bb-comp108899_c0,bb,
Bb-comp108931_c0,bb,
Bb-comp10896_c0,bb,
Bb-comp108993_c0,bb,
Bb-comp109038_c0,bb,
Bb-comp109132_c0,bb,
Bb-comp109144_c0,bb,
Bb-comp109154_c0,bb,
Bb-comp109182_c0,bb,
Bb-comp10920_c0,bb,
Bb-comp109249_c0,bb,
Bb-comp10936_c0,bb,
Bb-comp10941_c0,bb,
